symptom,disease
brittle_nails,Hypothyroidism
swollen_extremeties,Hypothyroidism
excessive_hunger,Hypoglycemia
extra_marital_contacts,AIDS
drying_and_tingling_lips,Hypoglycemia
slurred_speech,Hypoglycemia
knee_pain,Osteoarthristis
hip_joint_pain,Osteoarthristis
muscle_weakness,Hyperthyroidism
stiff_neck,Migraine
swelling_joints,Arthritis
movement_stiffness,Arthritis
spinning_movements,(vertigo) Paroymsal  Positional Vertigo
loss_of_balance,Cervical spondylosis
unsteadiness,(vertigo) Paroymsal  Positional Vertigo
weakness_of_one_body_side,Paralysis (brain hemorrhage)
loss_of_smell,Common Cold
bladder_discomfort,Urinary tract infection
foul_smell_ofurine,Unknown
continuous_feel_of_urine,Urinary tract infection
passage_of_gases,Peptic ulcer diseae
internal_itching,Peptic ulcer diseae
toxic_look_(typhos),Typhoid
depression,Hypothyroidism
irritability,Hypoglycemia
muscle_pain,Common Cold
altered_sensorium,Paralysis (brain hemorrhage)
red_spots_over_body,Chicken pox
belly_pain,Typhoid
abnormal_menstruation,Hypothyroidism
dischromic_patches,Unknown
watering_from_eyes,Allergy
increased_appetite,Diabetes 
polyuria,Diabetes 
family_history,Bronchial Asthma
mucoid_sputum,Bronchial Asthma
rusty_sputum,Pneumonia
lack_of_concentration,Hypertension 
visual_disturbances,Migraine
receiving_blood_transfusion,Hepatitis B
receiving_unsterile_injections,Hepatitis B
coma,Hepatitis E
stomach_bleeding,Hepatitis E
distention_of_abdomen,Alcoholic hepatitis
history_of_alcohol_consumption,Alcoholic hepatitis
blood_in_sputum,Tuberculosis
prominent_veins_on_calf,Varicose veins
palpitations,Hypoglycemia
painful_walking,Arthritis
pus_filled_pimples,Acne
blackheads,Acne
scurring,Acne
skin_peeling,Psoriasis
silver_like_dusting,Psoriasis
small_dents_in_nails,Psoriasis
inflammatory_nails,Psoriasis
blister,Impetigo
red_sore_around_nose,Impetigo
yellow_crust_ooze,Impetigo
watery_eyes,Common Cold
eyes_watering,Common Cold
sneezing,Common Cold
nasal_congestion,Common Cold
stuffy_nose,Common Cold
post_nasal_drip,Common Cold
sore_throat,Common Cold
dry_throat,Common Cold
hoarse_voice,Common Cold
voice_loss,Bronchial Asthma
difficulty_swallowing,GERD
body_aches,Influenza
general_malaise,Influenza
chapped_lips,Allergy
dry_lips,Unknown
cracked_lips,Allergy
lips_swelling,Allergy
mouth_ulcers,GERD
tongue_swelling,Allergy
gum_swelling,Unknown
gum_bleeding,Unknown
tooth_pain,Unknown
dental_pain,Unknown
jaw_pain,Unknown
earache,Unknown
ear_pain,Unknown
ear_discharge,Unknown
tinnitus,Unknown
ringing_in_ears,Unknown
insomnia,Unknown
sleep_disturbance,Unknown
excessive_daytime_sleepiness,Unknown
shortness_of_breath,Pneumonia
wheezing,Pneumonia
asthma_like_symptoms,Bronchial Asthma
sinusitis_symptoms,Common Cold
allergic_reaction,Allergy
urticaria,Allergy
hives,Allergy
itchy_skin,Psoriasis
itchy_eyes,Allergy
itchy_throat,Allergy
itchy_nose,Allergy
muscle_soreness,Influenza
body_fatigue,Influenza
extreme_tiredness,Influenza
tremors,Influenza
shakiness,Hypoglycemia
chills_and_fever,Malaria
fever_with_chills,Typhoid
intermittent_fever,Malaria
recurring_fever,Malaria
night_sweats,Tuberculosis
cold_sweat,Unknown
excessive_sweating,Hyperthyroidism
dry_mouth,Common Cold
excessive_thirst,Hyperthyroidism
low_energy,Hypothyroidism
reduced_appetite,Unknown
difficulty_eating,GERD
swallowing_difficulty,Unknown
bloating,GERD
abdominal_bloating,GERD
gas_in_stomach,GERD
flatulence,Unknown
excessive_gas,Unknown
loose_stools,Gastroenteritis
watery_stool,Gastroenteritis
frequent_stool,Unknown
urgency_of_stool,Unknown
incomplete_evacuation,Unknown
straining_during_stool,Unknown
frequent_urination,Urinary tract infection
painful_urination,Urinary tract infection
dysuria,Urinary tract infection
urinary_incontinence,Unknown
nocturia,Urinary tract infection
frequent_urination_at_night,Unknown
urinary_retention,Unknown
cloudy_urine,Urinary tract infection
foul_smelling_urine,Urinary tract infection
urine_discoloration,Unknown
dark_colored_urine,Unknown
foamy_urine,Unknown
pale_urine,Urinary tract infection
severe_cough,Influenza
muscle_aches,Influenza
burning_urination,Urinary tract infection
blood_in_urine,Urinary tract infection
chest_congestion,Pneumonia
dry_cough,Common Cold
productive_cough,Pneumonia
nausea_and_vomiting,Gastroenteritis
diarrhea,Gastroenteritis
